epochs,num_clients,batch_size,sgx,ssl,server_time_fl
50,2,32,0,1,345.50924532301724
50,4,32,0,1,356.80664053512737
50,8,32,0,1,378.5497405799106
50,16,32,0,1,421.83089196216315
50,31,32,0,1,541.4914357769303
50,32,32,0,1,543.9306677938439
50,33,32,0,1,847.2289814958349
50,34,32,0,1,862.910453364253
50,36,32,0,1,887.4821255118586
50,40,32,0,1,933.5946793886833
50,48,32,0,1,964.5443742717616
50,63,32,0,1,1020.4847594979219
50,2,32,0,1,347.9438989213668
50,4,32,0,1,355.8594930488616
50,8,32,0,1,377.77870152983814
50,16,32,0,1,426.31305836699903
50,31,32,0,1,540.0379949319176
50,32,32,0,1,538.1486525181681
50,33,32,0,1,840.9091722178273
50,34,32,0,1,870.7495463252999
50,36,32,0,1,887.4627863029018
50,40,32,0,1,934.4890722529963
50,48,32,0,1,966.9912875187583
50,63,32,0,1,1024.7281980607659
50,2,32,0,1,345.62163191335276
50,4,32,0,1,356.6232779575512
50,8,32,0,1,380.52877461723983
50,16,32,0,1,427.29196468601003
50,31,32,0,1,536.7620665198192
50,32,32,0,1,537.4388491101563
50,33,32,0,1,838.1799081298523
50,34,32,0,1,859.5664392430335
50,36,32,0,1,879.5557842412964
50,40,32,0,1,929.965175349731
50,48,32,0,1,970.9536283365451
50,63,32,0,1,1029.608491037041
50,2,32,1,1,474.39395904541016
50,4,32,1,1,489.2155520915985
50,8,32,1,1,527.2696228027344
50,16,32,1,1,593.0418739318848
50,31,32,1,1,740.9085710048676
50,32,32,1,1,744.1453080177307
50,33,32,1,1,1019.3393981456757
50,34,32,1,1,1047.259134054184
50,36,32,1,1,1074.4629819393158
50,40,32,1,1,1108.8717682361603
50,48,32,1,1,1151.1034200191498
50,63,32,1,1,1238.3031301498413
