epochs,num_clients,batch_size,sgx,ssl,params,median,mean,max,min,train_test_time,fl_time
50,2,32,0,1,62006,3.080783177400008,3.2101151049137115,4.096160100772977,2.721559917088598,333.65763201137696,336.8677471162907
50,2,32,1,1,62006,11.288637927733362,11.288637927733362,12.5464156572707,10.030860198196024,331.2093856034335,342.49802353116684
50,4,32,0,1,62006,4.514602029696107,4.735090553721719,8.466188878752291,2.9535198621451855,342.14781807960634,346.88290863332804
50,4,32,1,1,62006,17.488507407717407,17.396397299598917,18.7580230152235,15.850551367737353,340.21245321340393,357.60885051300284
50,8,32,0,1,62006,7.240461382782087,7.436920688914451,10.04190362477675,5.518643029034195,361.9821439922089,369.4190646811233
50,8,32,1,1,62006,27.010013294639094,26.755262442515246,27.28895196598023,25.1856262623333,368.5535128234187,395.30877526593395
50,16,32,0,1,62006,9.074927153298631,8.277383687003752,10.52064652228728,5.253456264268607,406.9802932800764,415.25767696708016
50,16,32,1,1,62006,52.58448995789516,52.460395533329574,52.88546253275132,51.30361504107714,408.4943195616361,460.95471509496565
50,31,32,0,1,62006,16.838329579215497,16.544250980895814,21.85073680570349,11.321322205942124,511.97810363821105,528.5223546191069
50,31,32,1,1,62006,100.63115344149992,100.09629193441042,104.33933628397062,95.05989539902657,507.28432534435285,607.3806172787632
50,32,32,0,1,62006,17.381507546640933,21.893967167120234,168.25205112528056,9.898412610869855,507.08545639457105,528.9794235616913
50,32,32,1,1,62006,102.33550746226683,106.10695338359801,227.9737490597181,98.31260042032227,504.794324639588,610.901278023186
50,33,32,0,1,62006,310.05708935530856,318.1999434790141,456.3199926088564,299.9096968001686,513.0953171663833,831.2952606453974
50,33,32,1,1,62006,366.70606916816905,374.6442908007002,504.1067416504957,359.89675468718633,512.020388680355,886.6646794810553
50,34,32,0,1,62006,335.55194600857794,345.98795734977296,465.1031801928766,325.03044733405113,507.58184181697504,853.569799166748
50,34,32,1,1,62006,396.1695162910036,407.2197969876887,522.9698800412007,389.72973879426706,506.7471856760026,913.9669826636913
50,36,32,0,1,62006,360.2709657731466,375.75953313810925,486.9192618560046,347.4783313497901,498.400647001134,874.1601801392433
50,36,32,1,1,62006,432.69475623173633,446.7616968319828,547.4398857834749,420.31750840321183,494.6978736872164,941.4595705191992
50,40,32,0,1,62006,421.41193015920004,441.99222726886705,523.1470821481198,408.74402523553,480.00733873414964,921.9995660030166
50,40,32,1,1,62006,478.27777874865563,497.85263637466124,572.9620199515483,465.68306172592577,478.258365805971,976.1110021806322
50,48,32,0,1,62006,470.06297144177375,492.16921427912894,549.6058354587294,460.1914962809534,464.6552998665623,956.8245141456913
50,48,32,1,1,62006,532.6299507000949,554.059104070504,599.266188513022,527.0794275058435,464.8301659538508,1018.8892700243547
50,63,32,0,1,62006,527.9341037939303,527.4473314651032,535.0851853368805,517.328814822249,486.4423968538361,1013.8897283189393
50,63,32,1,1,62006,622.8287519128062,622.542238964847,633.7930456739853,613.5802420075051,482.5345794936376,1105.0768184584847
