epochs,num_clients,batch_size,sgx,ssl,median,mean,max,min,train_test_time,fl_time
50,2,32,0,1,4.2423393609933555,4.544808195593475,7.202082266099751,3.428279482759592,329.45795099049184,334.0027591860853
50,2,32,1,1,56.75794185185802,56.01112016693997,59.41194780450314,52.29730813670898,334.6430394543956,390.65415962133557
50,4,32,0,1,6.9896103562787175,6.144518478889957,8.212008529342711,3.5543510243296623,339.2333534945501,345.37787197344005
50,4,32,1,1,65.05627687228844,65.18490536056925,70.66502252593637,59.540774616412875,343.27620574249886,408.4611111030681
50,8,32,0,1,5.977871964219958,6.317558483337052,7.338234257884267,4.978210751898587,361.97591148264473,368.2934699659818
50,8,32,1,1,83.07037214655432,83.25106772396249,89.83145196642727,76.30428663827479,366.9777072297875,450.22877495374996
50,16,32,0,1,7.201066585257649,7.949695285031339,9.721621312201023,5.959644652903023,407.72732546174666,415.677020746778
50,16,32,1,1,107.37789456779137,107.41993651067605,108.69727366883308,105.40786774922162,411.8600665333215,519.2800030439976
50,24,32,0,1,11.40601073903963,11.471681904591001,13.167047038674355,9.364887396804988,464.7172292029136,476.18891110750457
50,24,32,1,1,124.12526201410219,123.91294648246064,126.15634117927402,119.43278696388006,470.8987458594881,594.8116923419487
50,25,32,0,1,13.178541216999292,18.34603560583666,145.28009268455213,10.978009338490665,461.7254475850612,480.0714831908979
50,25,32,1,1,132.73036619229242,136.15250055899844,229.4713775292039,126.7036609519273,467.199202133473,603.3517026924715
50,30,32,0,1,13.73551884572953,33.69125964352862,117.4620364522562,11.05760027654469,447.1965915532317,480.8878511967603
50,30,32,1,1,143.28133686166257,157.12362960856407,225.66865689400584,136.62431627418846,456.0357314225907,613.1593610311548
50,38,32,0,1,410.6863665175624,420.6556342630157,464.3101251786575,391.46729212161154,459.01563360391333,879.671267866929
50,38,32,1,1,493.04298435896635,506.10565167986545,575.9322458468379,477.80487624462694,459.19693580168104,965.3025874815464
50,50,32,0,1,486.1918039573356,486.2801732573472,495.3560514682903,479.1028263177724,461.39605968998745,947.6762329473346
50,50,32,1,1,582.5121297691948,582.9338595603314,602.9746870873498,573.7445214679467,459.1688910335954,1042.1027505939267
50,54,32,0,1,499.70234034629544,505.47528008150834,525.1679585631938,488.11070652864873,472.57990667329136,978.0551867547997
50,54,32,1,1,605.6372398012318,609.6725346835209,627.7703498117628,592.1439448939636,469.59482090761543,1079.2673555911363
