epochs,num_clients,batch_size,sgx,ssl,params,median,mean,max,min,train_test_time,fl_time
10,2,32,0,1,62006,0.4362688660621652,0.44203694529520954,0.5469107085373253,0.39596155122853816,13.306995215107841,13.749032160403052
10,2,32,1,1,62006,2.304393596947193,2.3367210939953416,2.6883344212546945,2.1881398954428732,13.416034474018184,15.752755568013526
10,4,32,0,1,62006,0.69017848977819,0.7002492695173711,0.9547264038119465,0.5095715024508518,13.573477003102502,14.273726272619873
10,4,32,1,1,62006,3.792543114745058,3.8247960589651484,4.20224566408433,3.399025387596339,13.854608017650511,17.679404076615658
10,8,32,0,1,62006,0.9510636347113177,1.0311532939279762,1.638322725193575,0.7686619046144187,14.665401958098906,15.696555252026883
10,8,32,1,1,62006,6.0034838487626985,6.105994480356458,6.878260863479227,5.453605390852317,15.06602013631103,21.172014616667486
10,16,32,0,1,62006,1.186065125046298,1.18712492910466,1.3142027936410159,1.0396546963602304,16.434228875075252,17.621353804179915
10,16,32,1,1,62006,12.202985617215745,12.065307553644137,13.278146390104666,10.80201639560983,16.68670599030641,28.75201354395055
10,32,32,0,1,62006,2.037212950293906,2.142874639620762,2.994930074317381,1.6737716842908412,20.633244119560306,22.77611875918107
10,32,32,1,1,62006,20.739390472648665,21.195068240741723,23.17408351134509,20.21403026441112,20.101903984486853,41.29697222522858
10,34,32,0,1,62006,13.769441158510745,14.568319763237264,22.626752289477736,11.458945280872285,20.25027989029574,34.818599653533
10,34,32,1,1,62006,28.445067692548037,28.675990647231185,31.674992808140814,25.863123293500394,19.93436492183451,48.610355569065696
10,38,32,0,1,62006,19.07775476248935,19.735909258593445,24.87371172197163,17.949029135052115,19.39656632523085,39.132475583824295
10,38,32,1,1,62006,34.81386480573565,35.13685361048096,40.20623913733289,30.5295109632425,20.95765316579797,56.094506776278934
10,46,32,0,1,62006,22.4096047221683,22.962573999326434,28.1036555939354,20.995205488055944,18.816805183771066,41.7793791830975
10,46,32,1,1,62006,44.31746888149064,44.04356873644587,53.84628018550575,40.41566681070253,22.56929667303558,66.61286540948144
10,64,32,0,1,62006,22.080694308970124,22.103769657226923,22.741351809585467,21.56371180084534,18.759057221458836,40.86282687868576
10,64,32,1,1,62006,60.7820350327529,61.04841511908793,67.40015983534977,57.23982329573482,24.014066575409135,85.06248169449707
