epochs,num_clients,batch_size,sgx,ssl,server_time_fl
10,2,32,0,1,23.657141047064215
10,4,32,0,1,24.277364955982193
10,8,32,0,1,25.657089584041387
10,16,32,0,1,28.13004952808842
10,32,32,0,1,35.08422948908992
10,64,32,0,1,52.73289570584893
10,126,32,0,1,140.88495803787373
10,2,32,0,1,23.80966423614882
10,4,32,0,1,24.290262955939397
10,8,32,0,1,25.85512899211608
10,16,32,0,1,27.960495735052973
10,32,32,0,1,34.1650063211564
10,64,32,0,1,52.4897137300577
10,126,32,0,1,142.8507113789674
10,2,32,0,1,23.78974706795998
10,4,32,0,1,24.544414076022804
10,8,32,0,1,25.67684131907299
10,16,32,0,1,28.19222115096636
10,32,32,0,1,34.10014390805736
10,64,32,0,1,52.256655836012214
10,126,32,0,1,141.67499942099676
10,2,32,0,1,23.899582896847278
10,4,32,0,1,24.43609090615064
10,8,32,0,1,25.840938389999792
10,16,32,0,1,27.990873883944005
10,32,32,0,1,34.324625244829804
10,64,32,0,1,52.39431231585331
10,126,32,0,1,140.3960382179357
10,2,32,0,1,23.829799799947068
10,4,32,0,1,24.322860365966335
10,8,32,0,1,25.840065576136112
10,16,32,0,1,28.167159909848124
10,32,32,0,1,34.08321300894022
10,64,32,0,1,52.36584072909318
10,126,32,0,1,139.6433443420101
10,2,32,0,1,24.05314975604415
10,4,32,0,1,24.50314433593303
10,8,32,0,1,26.53226261609234
10,16,32,0,1,28.20447952998802
10,32,32,0,1,34.05427252501249
10,64,32,0,1,52.57548415893689
10,2,32,1,1,150.77773594856262
10,4,32,1,1,152.74384379386902
10,8,32,1,1,156.39963698387146
10,16,32,1,1,163.9432830810547
10,32,32,1,1,177.36017298698425
10,34,32,1,1,184.83579516410828
10,38,32,1,1,190.8122718334198
10,46,32,1,1,204.855309009552
10,64,32,1,1,226.31139206886292
10,2,32,1,1,150.85901498794556
10,4,32,1,1,152.86668610572815
10,8,32,1,1,156.39234519004822
10,16,32,1,1,165.36806511878967
10,32,32,1,1,178.94405698776245
10,34,32,1,1,185.94745683670044
10,38,32,1,1,194.6235110759735
10,46,32,1,1,205.332505941391
10,64,32,1,1,222.57788610458374
10,2,32,1,1,151.09701204299927
10,4,32,1,1,152.8375222682953
10,8,32,1,1,156.42463898658752
10,16,32,1,1,164.56321096420288
10,32,32,1,1,177.19496607780457
10,34,32,1,1,184.53716707229614
10,38,32,1,1,189.9282190799713
10,46,32,1,1,200.32697796821594
10,64,32,1,1,222.1555290222168
10,2,32,1,1,151.05449223518372
10,4,32,1,1,153.10183095932007
10,8,32,1,1,155.85250306129456
10,16,32,1,1,163.41891312599182
10,32,32,1,1,179.47019290924072
10,34,32,1,1,187.44442319869995
10,38,32,1,1,189.75571584701538
10,46,32,1,1,202.17122793197632
10,64,32,1,1,221.1606047153473
10,2,32,1,1,151.01369500160217
10,4,32,1,1,152.67412114143372
10,8,32,1,1,157.27904510498047
10,16,32,1,1,164.71863794326782
10,32,32,1,1,177.52150225639343
10,34,32,1,1,183.92092895507812
10,38,32,1,1,195.1094298362732
10,46,32,1,1,201.33756494522095
10,64,32,1,1,223.04439496994019
10,2,32,1,1,151.42339205741882
10,4,32,1,1,152.75271701812744
10,8,32,1,1,156.68429517745972
10,16,32,1,1,164.8775990009308
10,32,32,1,1,177.38781785964966
10,34,32,1,1,185.44466304779053
10,38,32,1,1,195.44616293907166
10,46,32,1,1,205.14967703819275
10,64,32,1,1,217.6955590248108
10,34,32,0,1,44.84451579488814
10,38,32,0,1,50.16585354367271
10,46,32,0,1,52.96048922697082
10,34,32,0,1,47.49860326061025
10,38,32,0,1,50.13860231824219
10,46,32,0,1,54.03568164398894
10,34,32,0,1,45.12251408305019
10,38,32,0,1,50.60554730985314
10,46,32,0,1,52.55462605599314
10,34,32,0,1,48.899555754847825
10,38,32,0,1,51.919096312019974
10,46,32,0,1,53.09405241999775
10,34,32,0,1,46.208255554083735
10,38,32,0,1,50.06302788294852
10,46,32,0,1,52.48460422316566
10,34,32,0,1,45.116810503881425
10,38,32,0,1,49.851347980089486
10,46,32,0,1,52.83813504176214
