model,num_threads,sgx,max_depth,n_estimators,columns,train_rows,train_time,test_rows,test_time,acc,f1
rf,1,1,None,1,28,1100000,7839125000,9900000,2999816000,0.6663033333333334,0.6662517014141714
rf,1,1,None,1,28,1100000,8076743000,9900000,2995931000,0.6663033333333334,0.6662517014141714
rf,1,1,None,1,28,1100000,8070671000,9900000,2999226000,0.6663033333333334,0.6662517014141714
rf,1,1,None,1,28,1100000,8069611000,9900000,2997187000,0.6663033333333334,0.6662517014141714
rf,1,1,None,1,28,1100000,8073450000,9900000,2998282000,0.6663033333333334,0.6662517014141714
rf,1,0,None,1,28,1100000,4313786757,9900000,3446725479,0.6663033333333334,0.6662517014141714
rf,1,0,None,1,28,1100000,4330159689,9900000,3410669141,0.6663033333333334,0.6662517014141714
rf,1,0,None,1,28,1100000,4318797981,9900000,3397447739,0.6663033333333334,0.6662517014141714
rf,1,0,None,1,28,1100000,4316578094,9900000,3388062345,0.6663033333333334,0.6662517014141714
rf,1,0,None,1,28,1100000,4318161332,9900000,3399111194,0.6663033333333334,0.6662517014141714
rf,1,1,None,1,28,2200000,21565995000,8800000,2943786000,0.7025168181818182,0.7024703975084771
rf,1,1,None,1,28,2200000,23718977000,8800000,2882462000,0.7025168181818182,0.7024703975084771
rf,1,1,None,1,28,2200000,22101343000,8800000,2866710000,0.7025168181818182,0.7024703975084771
rf,1,1,None,1,28,2200000,22210425000,8800000,2918808000,0.7025168181818182,0.7024703975084771
rf,1,1,None,1,28,2200000,22150789000,8800000,2861243000,0.7025168181818182,0.7024703975084771
rf,1,0,None,1,28,2200000,9258847218,8800000,3138109429,0.7025168181818182,0.7024703975084771
rf,1,0,None,1,28,2200000,9254518018,8800000,3134078899,0.7025168181818182,0.7024703975084771
rf,1,0,None,1,28,2200000,9197034396,8800000,3133622932,0.7025168181818182,0.7024703975084771
rf,1,0,None,1,28,2200000,9195727962,8800000,3151225673,0.7025168181818182,0.7024703975084771
rf,1,0,None,1,28,2200000,9197059481,8800000,3140410550,0.7025168181818182,0.7024703975084771
rf,1,1,None,1,28,3300000,35341425000,7700000,2507826000,0.7310937662337662,0.7310511990242167
rf,1,1,None,1,28,3300000,35338952000,7700000,2502557000,0.7310937662337662,0.7310511990242167
rf,1,1,None,1,28,3300000,35324437000,7700000,2510380000,0.7310937662337662,0.7310511990242167
