epochs,num_clients,batch_size,sgx,ssl,median,mean,max,min,train_test_time,fl_time
10,2,32,0,1,0.7546030106022954,0.9320834702812135,1.829406265169382,0.66189856082201,66.05634309460099,66.9884265648822
10,2,32,1,1,11.74653894174844,11.532502640193949,12.208756738342345,10.763355669565499,66.62007707357407,78.15257971376802
10,8,32,0,1,1.1122025097720325,1.1281434263801202,1.416656406596303,0.9333024248480797,72.65092077471006,73.77906420109018
10,8,32,1,1,20.10807415796443,19.101551688082207,21.042142439633622,15.966470523737371,73.61005364187683,92.71160532995903
10,16,32,0,1,1.9448672053404152,1.8343344948176916,2.409134706482291,1.2246021926403046,81.86262258002535,83.69695707484304
10,16,32,1,1,21.15654794080183,21.567131123757765,23.233302795328214,20.852091826498494,83.34497182501946,104.91210294877722
10,24,32,0,1,3.5481256204657328,3.040327393411038,4.1795487012714005,1.588658906519413,93.78848253947217,96.8288099328832
10,24,32,1,1,26.19803841598332,26.195309982466924,27.337357523851082,25.19337249454111,95.24410801318784,121.43941799565476
10,25,32,0,1,2.408478786237538,3.3817280495787667,28.53565885964781,1.925298726186142,92.25596553890655,95.63769358848532
10,25,32,1,1,27.1474628923461,27.638007914299767,49.76170990616083,23.702512387186275,94.28161081165075,121.91961872595051
10,26,32,0,1,3.114420815836638,4.936705043575224,28.432664236053824,2.3576198229566216,91.6681410966274,96.60484614020261
10,26,32,1,1,26.253957671578974,27.93169815833561,46.34019280876966,25.518915838561938,93.20439856709578,121.13609672543139
10,32,32,0,1,3.450322734192021,7.7061035586618045,22.184533050283804,2.35054222773762,89.06395360505364,96.77005716371544
10,32,32,1,1,26.354891020804658,29.998100966234535,43.32821085210888,24.571945807896554,90.85760867032029,120.85570963655482
10,40,32,0,1,84.47027203673497,85.97021423406744,96.91399160772562,78.54700028896332,90.63442995484608,176.6046441889135
10,40,32,1,1,105.53979976428673,106.52799233638991,115.79468701966107,98.1403343286365,91.79966926989145,198.32766160628137
10,48,32,0,1,94.25628091720864,94.29809357606185,99.6230132095516,90.26943029277024,90.9739383174391,185.27203189350095
10,48,32,1,1,115.44639986706898,115.43145098370344,120.83861564192918,111.75337420683351,91.6559454319908,207.08739641569426
10,55,32,0,1,101.96074663382021,102.75915437320981,108.88356359023601,97.6362522142008,94.28915249039278,197.0483068636026
10,55,32,1,1,123.15566407889128,123.51590885347264,129.6252863360569,117.0756610520184,94.8958396577248,218.41174851119743
