percent_spent,function,sgx,percent_train
0.0085,__memmove_evex_unaligned_erms,1,60
0.0067,ClassificationCriterion_init,1,60
0.0051,kernel_func,1,60
0.3519,splitter_introsort,0,60
0.1915,tokenize_bytes,0,60
0.1267,precise_xstrtod,0,60
0.0815,ClassificationCriterion_update,0,60
0.0206,__memmove_evex_unaligned_erms,0,60
0.0205,DensePartitioner_sort_samples_and_feature_values,0,60
0.0198,kernel_func,0,60
0.0167,management8internal11splitColumnIdiLNS,0,60
0.0138,Z11aquicksort,0,60
0.0089,node_split_best,0,60
0.0084,kernel_func,0,60
0.0062,management8internal20computeSumAVX512ImplIdEET,0,60
0.0054,kernel_func,0,60
0.0053,Entropy_children_impurity,0,60
0.0052,kernel_func,0,60
0.2471,ClassificationCriterion_update,1,70
0.1812,splitter_introsort,1,70
0.1773,memset,1,70
0.0843,tokenize_bytes,1,70
0.0555,precise_xstrtod,1,70
0.0522,memcpy,1,70
0.0335,sgx_copy_to_enclave_verified,1,70
0.0203,DensePartitioner_sort_samples_and_feature_values,1,70
0.0143,kernel_func,1,70
0.0141,management8internal11splitColumnIdiLNS,1,70
0.0098,mbedtls_internal_sha256_process,1,70
0.0083,ClassificationCriterion_init,1,70
0.008,Z11aquicksort,1,70
0.0069,__memmove_evex_unaligned_erms,1,70
0.0052,node_split_best,1,70
0.3772,splitter_introsort,0,70
0.1761,tokenize_bytes,0,70
0.117,precise_xstrtod,0,70
0.0909,ClassificationCriterion_update,0,70
0.0224,DensePartitioner_sort_samples_and_feature_values,0,70
0.0196,__memmove_evex_unaligned_erms,0,70
0.0182,kernel_func,0,70
0.0154,management8internal11splitColumnIdiLNS,0,70
0.0127,Z11aquicksort,0,70
0.009,node_split_best,0,70
0.0075,kernel_func,0,70
0.0059,management8internal20computeSumAVX512ImplIdEET,0,70
0.0052,kernel_func,0,70
0.0051,kernel_func,0,70
0.005,AVX512_SKX_isnan_DOUBLE,0,70
0.276,ClassificationCriterion_update,1,80
0.1874,splitter_introsort,1,80
0.1686,memset,1,80
0.076,tokenize_bytes,1,80
0.0498,precise_xstrtod,1,80
0.0492,memcpy,1,80
0.032,sgx_copy_to_enclave_verified,1,80
0.0225,DensePartitioner_sort_samples_and_feature_values,1,80
0.0131,kernel_func,1,80
0.0127,management8internal11splitColumnIdiLNS,1,80
0.0097,mbedtls_internal_sha256_process,1,80
0.0091,ClassificationCriterion_init,1,80
0.0073,Z11aquicksort,1,80
0.0073,__memmove_evex_unaligned_erms,1,80
0.0044,kernel_func,1,80
0.3997,splitter_introsort,0,80
0.1638,tokenize_bytes,0,80
0.109,precise_xstrtod,0,80
0.0983,ClassificationCriterion_update,0,80
0.0245,DensePartitioner_sort_samples_and_feature_values,0,80
0.0183,__memmove_evex_unaligned_erms,0,80
0.0169,kernel_func,0,80
0.0144,management8internal11splitColumnIdiLNS,0,80
0.0119,Z11aquicksort,0,80
0.0091,node_split_best,0,80
0.0071,kernel_func,0,80
0.0057,management8internal20computeSumAVX512ImplIdEET,0,80
0.0051,kernel_func,0,80
0.0049,Entropy_children_impurity,0,80
0.0048,AVX512_SKX_isnan_DOUBLE,0,80
0.3,ClassificationCriterion_update,1,90
0.1931,splitter_introsort,1,90
0.161,memset,1,90
0.0712,tokenize_bytes,1,90
0.0451,precise_xstrtod,1,90
0.0426,memcpy,1,90
0.0275,sgx_copy_to_enclave_verified,1,90
0.0239,DensePartitioner_sort_samples_and_feature_values,1,90
0.0129,kernel_func,1,90
0.0118,management8internal11splitColumnIdiLNS,1,90
0.0104,ClassificationCriterion_init,1,90
0.0089,mbedtls_internal_sha256_process,1,90
0.0068,Z11aquicksort,1,90
0.0065,__memmove_evex_unaligned_erms,1,90
0.0038,node_split_best,1,90
0.4195,splitter_introsort,0,90
0.1535,tokenize_bytes,0,90
0.1027,ClassificationCriterion_update,0,90
0.1017,precise_xstrtod,0,90
0.0265,DensePartitioner_sort_samples_and_feature_values,0,90
0.017,__memmove_evex_unaligned_erms,0,90
0.0158,kernel_func,0,90
0.0135,management8internal11splitColumnIdiLNS,0,90
0.0111,Z11aquicksort,0,90
0.0092,node_split_best,0,90
0.0065,kernel_func,0,90
0.0054,management8internal20computeSumAVX512ImplIdEET,0,90
0.0051,DOUBLE_pairwise_sum,0,90
0.0047,kernel_func,0,90
0.0046,AVX512_SKX_isnan_DOUBLE,0,90
