,function,sgx,num_trees,percent_spent
39,_ZN4daal10algorithms6dtrees8internal16ColIndexTaskBinsIidLNS_7CpuTypeE6EE9makeIndexERNS_15data_management10interface112NumericTableERNS2_15IndexedFeatures12FeatureEntryEPimmb,1,4,0.1121
40,_ZN4daal10algorithms6dtrees8internal16ColIndexTaskBinsIidLNS_7CpuTypeE6EE9makeIndexERNS_15data_management10interface112NumericTableERNS2_15IndexedFeatures12FeatureEntryEPimmb,1,8,0.1051
41,_ZN4daal10algorithms6dtrees8internal16ColIndexTaskBinsIidLNS_7CpuTypeE6EE9makeIndexERNS_15data_management10interface112NumericTableERNS2_15IndexedFeatures12FeatureEntryEPimmb,1,16,0.0958
42,_ZN4daal10algorithms6dtrees8internal16ColIndexTaskBinsIidLNS_7CpuTypeE6EE9makeIndexERNS_15data_management10interface112NumericTableERNS2_15IndexedFeatures12FeatureEntryEPimmb,1,32,0.082
43,_ZN4daal10algorithms6dtrees8internal16ColIndexTaskBinsIidLNS_7CpuTypeE6EE9makeIndexERNS_15data_management10interface112NumericTableERNS2_15IndexedFeatures12FeatureEntryEPimmb,1,64,0.0616
45,_ZN4daal10algorithms6dtrees8training8internal10DataHelperIdmLNS_7CpuTypeE6EE4initEPKNS_15data_management10interface112NumericTableESB_PKiSB_,0,64,0.0105
47,_ZN4daal10algorithms8internal5qSortIiLNS_7CpuTypeE6EEEvmPT_,0,2,0.018
48,_ZN4daal10algorithms8internal5qSortIiLNS_7CpuTypeE6EEEvmPT_,0,4,0.0349
49,_ZN4daal10algorithms8internal5qSortIiLNS_7CpuTypeE6EEEvmPT_,0,8,0.0652
50,_ZN4daal10algorithms8internal5qSortIiLNS_7CpuTypeE6EEEvmPT_,0,16,0.1153
51,_ZN4daal10algorithms8internal5qSortIiLNS_7CpuTypeE6EEEvmPT_,0,32,0.1863
52,_ZN4daal10algorithms8internal5qSortIiLNS_7CpuTypeE6EEEvmPT_,0,64,0.2715
54,_ZN4daal10algorithms8internal5qSortIiLNS_7CpuTypeE6EEEvmPT_,1,4,0.017
55,_ZN4daal10algorithms8internal5qSortIiLNS_7CpuTypeE6EEEvmPT_,1,8,0.0321
